species,length,width,thickness,distance_from_the_widest_part_to_the_apex,distance_from_the_widest_part_to_the_base,number_of_lines_of_areoles,areole_size,distance_between_areoles,distance_between_lines_of_areoles,number_of_spines_per_areole
O. cantabrigiensis,16.5,13.5,0.8,10,15,6,0.5,3.9,3.5,2
O. cantabrigiensis,16.5,13,1,10,12,5,0.6,3.8,3.1,2
O. cantabrigiensis,14.5,10,0.8,9,13,7,0.4,4.1,3.8,4
O. cantabrigiensis,18.5,15,1.2,13,14.5,6,0.6,3.4,3.4,4
O. cantabrigiensis,20,18,1.7,12,18,6,0.7,4.3,5.1,4
O. cantabrigiensis,20,18,1.5,16,18,6,0.7,4.7,3.3,5
O. cantabrigiensis,18,15,1.9,10,17,6,0.6,3.4,3.5,1
O. cantabrigiensis,12,13.5,1.5,10,15.5,6,0.5,3.5,4,2
O. cantabrigiensis,15.6,12.1,1.2,8.6,10.4,6,0.5,3,3.2,3
O. cantabrigiensis,8.4,10.4,1.2,6.8,8.7,5,0.4,2.2,2.6,2
O. cantabrigiensis,14.2,13.6,1,8.8,11.9,5,0.4,3.1,3,3
O. cantabrigiensis,14.8,12.9,1,9.7,11.3,6,0.6,2.8,3.6,5
O. cantabrigiensis,12.6,10.3,1.2,6.7,11.1,5,0.5,2.6,2.9,3
O. cantabrigiensis,17.2,14.6,1.7,9.2,15.3,6,0.6,3,3.3,4
O. cantabrigiensis,19.8,15.8,1.4,12,14.3,6,0.6,3.3,4,3
O. cantabrigiensis,16.7,11.6,1.8,9.2,10.8,6,0.5,4.2,4.2,3
O. cantabrigiensis,16.7,13.3,0.5,11.2,10,6,0.3,3,2.9,4
O. cantabrigiensis,19.7,19.5,1.2,17,19.7,5,0.7,5,5.6,5
O. cantabrigiensis,21.3,16.7,1,12,12,5,0.6,3.6,4,7
O. cantabrigiensis,22,15.4,1.2,14,13.7,4,0.6,4,3.6,5
O. cantabrigiensis,21,18,0.8,12,14,5,0.8,4.6,5.8,5
O. cantabrigiensis,17,13.5,0.6,13,14,4,0.7,4.6,4.5,3
O. cantabrigiensis,17,13,0.7,12,11,4,0.2,3,4.7,4
O. cantabrigiensis,19,19.7,0.9,14,13.8,6,0.5,5.6,4,3
O. cantabrigiensis,21,18.5,0.7,15,13.5,5,0.5,5,5,4
O. cantabrigiensis,15,12.5,0.7,9.5,9.6,4,0.6,3,4,5
O. cantabrigiensis,18,14.5,0.6,13.3,12,5,0.2,3.7,3.6,4
O. cantabrigiensis,23,16,0.8,16.7,15.7,5,0.4,4.6,4.3,3
O. cantabrigiensis,17.7,14.6,0.7,12,11,4,0.2,4,3,4
O. cantabrigiensis,15.6,12,0.7,10,9.7,5,0.05,3,3.6,5
O. cantabrigiensis,15.7,11.7,0.3,11,10,4,0.1,3.7,4,4
O. cantabrigiensis,18,13,0.8,10,12,4,0.2,3,3.5,3
O. cantabrigiensis,13,12,0.9,9,10,5,0.3,3.5,3,4
O. cantabrigiensis,17.5,16,0.7,12,13,5,0.4,3.5,5,4
O. cantabrigiensis,22,23,0.9,14,15,5,0.7,5,4.5,7
O. cantabrigiensis,15,16,1.1,12,11,5,0.5,4,3.5,5
O. cantabrigiensis,21,22,1.8,15,14.7,6,0.7,4,3.9,6
O. cantabrigiensis,14,12,1,10,9.9,4,0.6,3.6,4,6
O. cantabrigiensis,6,5,0.7,2,3.5,4,0.4,2,0.5,2
O. cantabrigiensis,14,11.4,0.7,9,9.9,5,0.2,2.9,3,4
O. cantabrigiensis,21,18,0.8,12,14,5,0.5,4,6,5
O. cantabrigiensis,17,17.6,0.6,12.5,13,5,0.6,3,5,4
O. streptacantha,33.8,14.7,2.2,13.1,24.4,10,0.4,2.8,3.4,2
O. streptacantha,29.7,15.15,2.7,10.4,23.2,9,0.3,3.8,3,5
O. streptacantha,33.8,14.1,2.7,11.2,28.6,7,0.2,3.3,2.6,3
O. streptacantha,27.7,14.7,2.5,12.2,22.8,8,0.3,3.5,3.7,3
O. streptacantha,37,18.3,2.6,19.8,25,9,0.35,2.8,3.8,3
O. streptacantha,44.5,22,3.2,18.1,34.6,9,0.3,3.5,5,5
O. streptacantha,32.4,19.7,4.6,17.6,18.3,8,0.5,3.05,3.9,4
O. streptacantha,40.7,22.4,3.85,18.1,28.2,9,0.5,3.5,4.3,5
O. streptacantha,31.7,18.7,3.3,16.9,20.5,7,0.3,3.65,3,3
O. streptacantha,30.3,19.6,3.9,12.3,22,7,0.65,3.6,4,5
O. streptacantha,29.9,16,1.45,15.7,19.3,8,0.3,2.95,3.7,3
O. streptacantha,39.9,17,1.6,20.2,20.7,10,0.3,2.8,3.5,2
O. streptacantha,37.2,18.8,1.85,22,21.5,10,0.35,3,4,4
O. streptacantha,23.1,16.6,2,12.2,17.6,7,0.3,4.1,5,5
O. streptacantha,28.7,15.5,2.2,16.1,20.8,7,0.3,2.9,3.85,3
O. streptacantha,32.2,18.6,2.4,16.8,21.6,8,0.4,3.9,3.65,4
O. streptacantha,39.1,18,2.65,21.3,25,9,0.35,3.15,5.2,2
O. streptacantha,36.7,18.6,2.25,21.5,26.2,9,0.4,3,3.6,2
O. streptacantha,36.1,20,3.1,18.2,25.1,8,0.2,2.9,3.1,2
O. streptacantha,33.5,15.6,2.9,21.4,16.3,9,0.4,3.3,4.7,4
O. streptacantha,19.5,11.5,2.1,9.4,12.8,6,0.45,2.55,2.4,2
O. streptacantha,21.2,13,1.8,11.4,13.1,6,0.35,2.85,2.5,5
O. streptacantha,29.1,16.2,2.65,14.8,18,7,0.25,3.1,3.4,2
O. streptacantha,38.7,20,2.6,21.2,24.1,8,0.35,4.05,3.9,2
